enrollDate,enrollChannel,referralCode,enrollSource,enrollIncentive,enrollLocation,status,program,type,firstName,lastName,acquisitionDate,acquisitionChannel,dob,gender,address,city,state,country,email,cellPhone,zipCode,socialId,canPreview,mergePendingFlag,unMergePendingFlag,synchronousMergeFlag,lastActivityDate,structureVersion,org,tiers,badges,purses,streaks,trans,rewards,events,activities,offers,segments,memberSegments,preferences,tierHistory,pendingIds,memberPreferences
1701028793955,In-Person,7uigd69mnn,Social Media,Freebie,008407be-5b60-44d3-b411-d6410f7f57d4,Active,6db4e3d7-3e9b-4bcb-9a53-ccb17829a216,Type2,Bette,Greenholt,1683625696628,Phone,1708488175194,Male,141 Toy Loaf,Rafaelachester,Tennessee,Japan,Theresia.Bednar73@hotmail.com,1-499-298-9357,45482,et6fo6bm2b,1,1,,,1680768019881,22282,YourOrgName,[],[],[],[],{},[],[],[],[],[],[],[],[],[],[]
1681867317543,Online,g181dsly85,Website,Discount,1c37d902-b1d3-488b-94cf-700beaf53168,Active,93d366e4-6952-444f-9646-061ef28e48c8,Type2,Mohammad,Kuvalis,1694518759534,In-Person,1698452313006,Female,670 Tony Plaza,North Demetrius,Kansas,India,Emanuel_Hand57@hotmail.com,352.498.6594 x32126,81317-0560,nh9o03nw0j,1,,1,,1684482455418,99407,YourOrgName,[],[],[],[],{},[],[],[],[],[],[],[],[],[],[]
1705545331103,Online,sjblfhqgsd,Website,Freebie,2a694c8c-bfde-4bfb-ae46-9910bff19dd0,Active,817bda00-a55f-42bf-9bc5-78645b417946,Type3,Jayson,Kessler,1695264781905,In-Person,1700108837558,Male,5044 King Circle,South Kelton,Oklahoma,Kuwait,Emory.Sporer@gmail.com,755-646-2146,73843-1327,imtyt0e6mv,1,,1,1,1696424383083,78449,YourOrgName,[],[],[],[],{},[],[],[],[],[],[],[],[],[],[]
1705627216085,In-Person,6s15k1d5w6,Referral,Discount,7b4ab135-14d1-4997-8943-07f74b3e01b7,Active,0bbb6e36-ec19-45f9-bf83-2fc8694ff216,Type1,Brando,Vandervort,1683973759921,Phone,1686673398900,Female,3785 Luettgen Avenue,Port Fritz,New York,New Caledonia,Cody14@yahoo.com,1-660-369-4765 x0311,22853,3jsh05lusa,1,1,1,1,1704117526926,61305,YourOrgName,[],[],[],[],{},[],[],[],[],[],[],[],[],[],[]
1693854358688,In-Person,tycqrr591e,Social Media,Cashback,750c7a72-919d-44d1-9983-dbe96dd85a99,Active,171f6971-7202-430c-a0b6-744c571061ad,Type2,Daphne,Kuvalis,1710446889998,Online,1686887614295,Female,3961 Mathew Pass,East Mylenefort,Oklahoma,Brazil,Akeem79@gmail.com,744-536-2144,01040-9565,h94glmhd4f,1,1,,,1706675150886,11896,YourOrgName,[],[],[],[],{},[],[],[],[],[],[],[],[],[],[]
1680418329968,Phone,0esu2v4qwi,Website,Discount,5cc41263-888c-4f65-8a48-185df62503cf,Active,6edccebc-edff-4a4a-9352-5467c1bad0f3,Type3,Jarrell,Corwin,1685627223085,In-Person,1695794288118,Female,314 Jailyn Circle,Hagenesview,Iowa,Monaco,Dee_Altenwerth38@gmail.com,(571) 600-4674 x2101,62893-5425,apjfr0by0m,1,,,1,1705719763592,65842,YourOrgName,[],[],[],[],{},[],[],[],[],[],[],[],[],[],[]
1683071379386,Online,xku1pf2abb,Social Media,Discount,adafbd62-9cff-4981-bd42-e0076fccb04a,Active,3e7df814-d0fe-41b1-94ea-113191f6dce6,Type3,Elvis,Block,1691183519523,In-Person,1709796040331,Female,6610 Johns Roads,West Charlotte,Maryland,Mongolia,Ibrahim.Mayer17@hotmail.com,(827) 344-7366,95562-0048,zljxeklo61,,,1,1,1691903945464,29230,YourOrgName,[],[],[],[],{},[],[],[],[],[],[],[],[],[],[]
1701548876337,In-Person,1wnekm1uot,Social Media,Cashback,6b86a8ca-06f4-4877-afe7-3a9c5bf0e105,Active,52b43103-e9aa-4765-b08e-76def02653a2,Type3,Chesley,Smith,1697040774338,Phone,1709039911125,Male,16640 Konopelski Mission,South Christophe,Massachusetts,Samoa,Katarina_Heidenreich59@yahoo.com,767-928-3435 x620,69287,bmar3ekxt7,1,,1,1,1680281263658,79762,YourOrgName,[],[],[],[],{},[],[],[],[],[],[],[],[],[],[]
1702636364879,In-Person,zu1oecxmlo,Social Media,Discount,cb21f5a4-6825-49c1-bae7-8749ec5217fb,Active,798ef065-bb30-496d-bc3d-4e4f68d7cf79,Type2,Courtney,Larkin,1694439713495,Phone,1693854743757,Female,13122 Kamren Road,Cathedral City,Georgia,Samoa,Guy2@gmail.com,408-588-8182,07910,3zj3j18bfy,1,,,1,1683005571350,85778,YourOrgName,[],[],[],[],{},[],[],[],[],[],[],[],[],[],[]
1688562182319,In-Person,vkovg8dqo4,Social Media,Freebie,8851d50f-5c1c-41be-b5af-ecd71d6ff6fc,Active,4209e3cb-1e0a-4aac-954f-39ef66098ee0,Type1,Jacynthe,Hilpert,1708964302983,In-Person,1681543147625,Female,72783 Isaiah Squares,East Rhiannon,Iowa,Haiti,Nina1@hotmail.com,(335) 255-7954,64832,lqrvsfn5ki,1,1,,1,1684120094701,14792,YourOrgName,[],[],[],[],{},[],[],[],[],[],[],[],[],[],[]
